id,text,created_at
1601364825015287810,"“The recommended timing for COVID boosters has changed many times and is now changing again,” @FunctionalGov said.A watchdog is seeking records from the government on its inconsistent #COVID19 vaccine recommendation. https://t.co/iFqtNE1Fdd",2022-12-09T23:55:00.000Z
1601358953438289920,@MMelendez86 Good reference Miquel. Here’s another one from @URMed_GCH https://t.co/AD0J1Ietdz @AngelaBrancheMD @CommPlaceGR @CommonGroundH #Flu #RSV #COVID19 https://t.co/cgf2XuLTV2,2022-12-09T23:31:40.000Z
1601357817839251456,WATCH THIS. Share this. #COVID19 https://t.co/NT3wQhacaQ,2022-12-09T23:27:10.000Z
1601350983619166208,"Gulf carrier @etihad Airways pledges to bring back the Airbus SE A380 superjumbo, joining a small group of airlines choosing to revive the mammoth jet after it had appeared doomed at the height of the #COVID19 crisis.https://t.co/1DexyyglUn",2022-12-09T23:00:00.000Z
1601350911569321985,“You are today where your thoughts have brought you; you will be tomorrow where your thoughts take you.” – James Allen#quote #covid19 https://t.co/luu6obq7PZ,2022-12-09T22:59:43.000Z
1601348017604509696,COVID-19 vaccines can reduce your risk of getting very sick from COVID-19. But that protection weakens over time. Give your protection a boost this fall.https://t.co/zVM3cqNagm#gettheshot #COVID19 #fightcovid19 #getboosted https://t.co/szoJ4gI0Ap,2022-12-09T22:48:13.000Z
1601345155662901248,"Community level today, based on #CDC national metrics. If you are traveling, be aware of the current spread and take the proper precautions. More info: https://t.co/jga5SSC0oP  #PublicHealth #ProtectChicago #COVID19 https://t.co/ryCiL9IcrV",2022-12-09T22:36:51.000Z
1601344868923904000,"#Malaysia's #unemployment fell to the lowest level since the #COVID19 pandemic in October, reaching 602,000 persons, official data showed. https://t.co/oZLl4pVZHL",2022-12-09T22:35:42.000Z
1601343467858411523,"With food and fertilizer shortages due to Russia's invasion of Ukraine and #COVID19 supply chain disruptions lingering, it's clear that the world needs stronger food systems—fast. Join #FPFoodPlus on Dec 14 as we discuss the future of our planet’s food: https://t.co/NUc7JjTRj8 https://t.co/R7O2ZHcCOs",2022-12-09T22:30:08.000Z
1601343462657429505,"It’s National Influenza Vaccination Week! Get your flu shot at VA or one of 70,000 community locations nationwide. Protect yourself &amp; your loved ones — ask your VA care team about vaccines to #fightflu, #COVID19 &amp; other illnesses. https://t.co/XlYKS8A6hX https://t.co/DKgS1yW8sk",2022-12-09T22:30:07.000Z
1601342173173219334,@MichiganDOT  Cash payments are not accepted from eastbound @MDOT_BWB  #BlueWaterBridge customers during the #COVID19 pandemic. Thank you for your cooperation. #MDOT,2022-12-09T22:25:00.000Z
1601341523639308288,1/2Today’s #COVID19 summary in Delaware reflects data as of Dec. 8:* 12 deaths reported from a review of vital statistics reports (Feb-Nov).* 7 residents of Sussex County; 4 from New Castle; and 1 from Kent.* Ranged from their 30s-90s.* All had underlying health conditions. https://t.co/uyBxRBpnba,2022-12-09T22:22:25.000Z
1601341170717786112,Health Canada has approved a Pfizer-BioNTech COVID-19 vaccine booster for use in children ages five to 11. #Canada #COVID19  https://t.co/NP1tHVVFCV,2022-12-09T22:21:01.000Z
1601340671088099328,"US flu surge continues amid jump in COVID activityAs the holidays approach, the #flu surge continues, and tracking shows a fresh spike in #COVID19 markershttps://t.co/zNTfsFqAxZ https://t.co/TyZD9hNwAC",2022-12-09T22:19:02.000Z
1601335966031044610,"About 360,000 people in Ontario will soon get notices their personal information was part of a previously reported November 2021 data breach in the province’s #COVID19 vaccination management system #onpolihttps://t.co/PlpDJu9gxf",2022-12-09T22:00:20.000Z
1601335049789521924,Half of COVID preprint studies were later published in journalsSlightly more than half of #COVID19 -related scientific studies posted on medRxiv were published in peer-reviewed journals within 2 yearshttps://t.co/TWz9SCQtD7,2022-12-09T21:56:41.000Z
1601334731878047746,"Early-pandemic COVID-19 infections linked to depressionThose who reported #COVID19 during wave 1 had elevated symptoms of anxiety and depression at 1, 3, 5, and 13 months follow-uphttps://t.co/bwmeGHyMys",2022-12-09T21:55:26.000Z
1601330148967649281,Hundreds of thousands of Ontarians' information may have been compromised in a data breach of the province's #COVID19 vaccine management system #onpoli #cybersecurity https://t.co/GGbM3FMyjJ,2022-12-09T21:37:13.000Z
1601328332527656960,#COVID19 restrictions in #China; #Taiwanese semiconductor giant TSMC and its $40 billion investment in Arizona; and China’s Xi Jinping visits #SaudiArabia. This is #VOAAsiaWeekly @VOANews https://t.co/YmTMQMViUa,2022-12-09T21:30:00.000Z
